objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Dinosaur World","317457","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84509478","6.64732","7.3174","3.2642","1010","11411","thing","Dinosaur World","2","4","120","120","60","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Distilled","295895","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","96076851","7.22973","7.75844","3.0316","278","14599","thing","Distilled","1","5","150","150","30","2023","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Distilled","295895","0","2","0","0","0","0","0","0","0","0","0","3","","","","","","96076852","7.22973","7.75844","3.0316","278","14599","thing","Distilled","1","5","150","150","30","2023","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Distilled: Africa & Middle East Expansion","342219","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","105227408","6.16275","8.14238","2.8182","0","6018","thing","Distilled: Africa & Middle East Expansion","1","5","120","120","30","2023","1,2,3,4","2,3","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"DJ Jazzy Jeff and the Fresh Prince: Summertime","336199","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","84179754","0","5.39286","1","0","44","thing","DJ Jazzy Jeff and the Fresh Prince: Summertime","2","4","20","20","20","2021","","","","","","","","","","standalone","","","","",""
"Dogfight: 1917","445533","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137888312","5.5199","7.72632","2","19253","65","thing","Dogfight: 1917","2","4","30","30","30","2025","2,4","2","14+","","","","","","","standalone","","","","",""
"Doodle Dash","334379","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","111491799","6.00663","7.30988","1","3116","1700","thing","Doodle Dash","3","7","20","20","15","2021","4,5,6,7","5,6,7","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dracula vs Van Helsing","381278","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","116513870","6.53608","7.41542","1.7619","1228","5541","thing","Dracula vs Van Helsing","2","2","45","45","20","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Dragon Eclipse","381247","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","131347270","6.36889","8.37368","2.6792","1657","4482","thing","Dragon Eclipse","1","2","120","120","60","2025","1,2","1,2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Dragons of Etchinstone","367086","10","2","0","1","0","0","0","0","0","0","0","3","","Fun, challenging and very portable. Great for trips, hospitals, long queues...","","","","131376331","6.05959","7.94234","2.4444","2851","3136","thing","Dragons of Etchinstone","1","1","30","30","20","2022","1","1","10+","","","","","","","standalone","","","","",""
"Dragons of Etchinstone: Northvale","409837","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139667403","5.59014","8.31193","3.6","0","1566","thing","Dragons of Etchinstone: Northvale","1","1","30","30","20","2024","1","1","12","","","","","","","expansion","","","","",""
"Dragons of Etchinstone: Siege","443422","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139667391","5.52912","8.29516","3.6667","0","1314","thing","Dragons of Etchinstone: Siege","1","1","60","60","60","2025","1","1","Up to 14","","","","","","","expansion","","","","",""
"Drillers","465669","0","0","0","0","0","0","1","1","0","0","0","3","","","","","","143320839","0","7.32353","3","0","10","thing","Drillers","1","4","120","120","30","2026","1,2,3,4","2","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Dungeons & Drinks","313454","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111173512","5.5115","6.25539","1.2857","22028","544","thing","Dungeons & Drinks","2","6","45","45","45","2020","3,4","3","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dungeons and Naggins","403145","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","121353908","0","8.7","2","0","37","thing","Dungeons and Naggins","2","6","40","40","20","2023","2,3,4,5,6","6","","","","","","","","standalone","","","","",""
"Dustbiters","343847","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84508304","5.70114","7.52329","1.4615","6241","621","thing","Dustbiters","2","2","15","15","10","2021","2","2","","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Earth","350184","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","142078250","7.35561","7.62029","2.9114","209","34403","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Earth: Abundance","414734","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143023023","6.05468","8.10703","3.3","0","5507","thing","Earth: Abundance","1","6","90","90","45","2025","1,2,3,4,5","2,3","","","","","","","","expansion","","","","",""
"Earth: Animal Kingdom","442298","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","143665137","5.52781","7.975","0","0","460","thing","Earth: Animal Kingdom","1","6","90","90","45","2026","","","","","","","","","","expansion","","","","",""
"Earth: Kickstarter Goodies","383124","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143023040","5.67995","7.74531","3","0","1912","thing","Earth: Kickstarter Goodies","0","0","0","0","0","2023","","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Earth: Weather Module","420913","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143023036","5.55717","7.49861","0","0","1338","thing","Earth: Weather Module","1","6","0","0","0","2024","","","","","","","","","","expansion","","","","",""
"Earthborne Rangers","342900","0","2","0","0","0","0","0","0","1","0","0","3","","","","","","117149241","7.00127","8.07695","3.4762","497","11431","thing","Earthborne Rangers","1","4","240","240","60","2023","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"The Elder Scrolls: Betrayal of the Second Era","356080","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","141258042","7.29958","8.90966","4.0655","237","7499","thing","The Elder Scrolls: Betrayal of the Second Era","1","4","240","240","120","2025","1,2,3,4","2","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Emerald Flame","299371","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107237217","5.93659","8.32977","3.6667","3567","1602","thing","The Emerald Flame","1","4","540","540","270","2021","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"Endeavor: Deep Sea","367966","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129463795","7.64714","8.22393","2.9208","85","14913","thing","Endeavor: Deep Sea","1","4","120","120","60","2024","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Endeavor: Deep Sea – Uncharted Waters","446892","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","132547594","0","8.86957","0","0","247","thing","Endeavor: Deep Sea – Uncharted Waters","1","5","90","90","45","2026","","","","","","","","","","expansion","","","","",""
"Entropy","462941","0","0","0","0","0","0","1","1","0","0","0","3","","","","","","142086567","5.54485","7.65333","3.5","13852","19","thing","Entropy","1","4","150","150","90","2026","1,2,3,4","1,3","","","","","","","","standalone","","","","",""
"Eternal Decks","424981","0","0","0","0","0","0","1","0","0","0","0","3","","","","","","139677466","6.68694","8.26071","2.8125","937","3942","thing","Eternal Decks","1","4","40","40","30","2025","1,2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Etherfields","280794","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","95506855","6.87186","7.84192","3.5874","650","12999","thing","Etherfields","1","4","180","180","90","2020","1,2,3","2","14+","Unplayable in another language","","","","","","standalone","","","","",""
"Etherstone","412086","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","137140168","6.16919","7.66028","2.4242","2331","2478","thing","Etherstone","2","4","60","60","30","2025","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Etherstone","412086","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","137888281","6.16919","7.66028","2.4242","2331","2478","thing","Etherstone","2","4","60","60","30","2025","2,3,4","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","ThunderGryph Games","English","2025","English deluxe edition"
"Evacuation","382843","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","111252167","6.7036","7.48913","3.9798","901","7470","thing","Evacuation","1","4","150","150","60","2023","1,2,3,4","2,3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Evenfall","396989","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","111658182","6.61903","7.61567","3.1027","1060","5197","thing","Evenfall","1","4","120","120","60","2023","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Evenfall: The Crystal Path","421844","0","0","0","1","0","0","0","0","0","0","0","3","","Paid","","","","122492960","5.62923","8.18083","3.3333","0","683","thing","Evenfall: The Crystal Path","1","4","120","120","60","2024","1,2,3,4","2,3","","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
