objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"BANG! The Bullet!","30933","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111370993","6.53295","6.9197","1.8458","0","17504","thing","BANG! The Bullet!","3","8","40","40","20","2007","4,5,6,7,8","6,7","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Between Two Castles of Mad King Ludwig","258036","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895516","6.78411","7.21767","2.1847","783","11870","thing","Between Two Castles of Mad King Ludwig","2","7","60","60","45","2018","3,4,5,6,7","6","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Blood on the Clocktower","240980","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","148678234","7.72079","8.33382","3.0217","66","11761","thing","Blood on the Clocktower","6","21","120","120","30","2022","7,8,9,10,11,12,13,14,15,16","9,10,11,12","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Brink","415078","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122895983","5.93116","7.54759","3.1923","3663","2025","thing","Brink","2","5","150","150","60","2025","3,4,5","5","14","","","","","","","standalone","","","","",""
"Café Baras","406498","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","129233565","6.12567","7.21433","1.9459","2560","4252","thing","Café Baras","2","4","30","30","30","2024","2,3,4","2,3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Canvas","290236","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895813","6.92085","7.18708","1.7291","605","33106","thing","Canvas","1","5","30","30","30","2021","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Canvas: Reflections","335172","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129233240","6.29986","7.65669","2.037","0","8283","thing","Canvas: Reflections","1","5","30","30","30","2022","1,2,3,4,5","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"Cartographers","263918","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","123488405","7.3863","7.54915","1.8896","184","63484","thing","Cartographers","1","100","45","45","30","2019","1,2,3,4,5,6,7,8","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Castles of Burgundy: Special Edition","363622","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129233265","8.49336","9.14189","2.8382","0","25800","thing","The Castles of Burgundy: Special Edition","1","4","120","120","70","2023","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Cat in the Box: Deluxe Edition","345972","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895351","7.11503","7.42741","2.0455","381","25128","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2022","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Celtae","374200","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","139573440","5.81104","7.09066","2.6897","4714","1373","thing","Celtae","1","4","100","100","50","2023","1,2,3,4","2,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Clank!: Catacombs","365717","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","122895900","7.78659","8.22748","2.4894","48","26305","thing","Clank!: Catacombs","2","4","90","90","45","2022","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cockroach Poker Royal","129736","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895385","6.49988","7.01659","1.1406","1341","9838","thing","Cockroach Poker Royal","2","6","25","25","15","2012","3,4,5,6","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Codenames: Pictures","198773","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371067","6.99642","7.17416","1.2351","510","45927","thing","Codenames: Pictures","2","8","15","15","15","2016","4,5,6,7,8","6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Coffee Rush","377061","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","129233552","6.54539","7.09126","1.7961","1225","12773","thing","Coffee Rush","2","4","30","30","30","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Compania","436511","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","144264709","5.80458","7.33195","2.8095","4771","999","thing","Compania","1","6","90","90","60","2025","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Compile: Main 1","406652","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125952384","6.94918","7.79282","2.4","568","12350","thing","Compile: Main 1","2","2","30","30","20","2024","2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Concordia Venus","256916","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","122895369","7.59144","8.25297","3.0087","104","12725","thing","Concordia Venus","2","6","120","120","60","2018","2,3,4,5,6","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Confusing Lands","342200","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125522212","5.82937","7.22873","1.5263","4524","1697","thing","Confusing Lands","1","2","10","10","10","2024","1,2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Coup","131357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371075","6.83159","6.97542","1.4148","724","94719","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Courtisans","402283","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124045652","6.64806","7.26469","1.3039","1018","9309","thing","Courtisans","2","5","30","30","20","2024","2,3,4,5","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Crew: Mission Deep Sea","324856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371187","7.80267","8.04058","2.0505","44","53009","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Cudillero","422754","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122936836","5.53143","7.1384","2.3333","16520","192","thing","Cudillero","2","4","45","45","45","2024","2,3,4","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Cyclades: Legendary Edition","380619","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","129233274","6.91933","8.10372","2.8235","608","7192","thing","Cyclades: Legendary Edition","2","6","90","90","60","2024","3,4,5,6","4,5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Daruma","378293","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895835","5.60833","6.80968","1.1667","9120","540","thing","Daruma","2","5","40","40","20","2023","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dead of Winter: A Crossroads Game","150376","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","136206449","7.26861","7.43695","3.0137","255","69889","thing","Dead of Winter: A Crossroads Game","2","5","120","120","60","2014","3,4,5","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Dead Reckoning","276182","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122601297","7.13696","8.13496","3.4413","361","7325","thing","Dead Reckoning","1","4","150","150","90","2022","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Debatable","227026","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122896065","5.55538","6.41359","1.1429","12789","585","thing","Debatable","3","16","120","120","30","2017","4,5,6,7,8,9,10,11,12,13,14,15,16","5,7","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Decrypto","225694","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","116502831","7.54665","7.76364","1.8263","117","46806","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Destinies","285192","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","127166337","7.07735","7.64203","1.9158","417","18869","thing","Destinies","1","3","150","150","90","2021","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Deus","162082","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122895855","6.90605","7.25999","2.8235","617","11795","thing","Deus","2","4","90","90","60","2014","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dixit","39856","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113065455","7.06326","7.17865","1.191","434","109674","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dokmus","199793","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129233051","6.03582","7.01342","2.1071","3016","1897","thing","Dokmus","2","4","40","40","20","2016","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"DroPolter","405537","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125952411","6.39619","7.06338","1.0175","1611","6743","thing","DroPolter","2","5","20","20","20","2023","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Dune: Imperium – Uprising","397598","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","122936811","8.25669","8.69939","3.5259","5","30296","thing","Dune: Imperium – Uprising","1","6","120","120","60","2023","1,2,3,4,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dungeon Degenerates: Hand of Doom","210232","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122896104","6.37544","8.04179","3.6437","1666","3913","thing","Dungeon Degenerates: Hand of Doom","1","4","360","360","30","2017","1,2,3,4","1,2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Dungeon Mayhem","260300","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895782","6.30313","6.85757","1.1453","1882","13383","thing","Dungeon Mayhem","2","4","10","10","10","2018","2,3,4","4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Earth","350184","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","122896511","7.35283","7.61294","2.9134","210","35780","thing","Earth","1","5","90","90","45","2023","1,2,3,4","2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Earthborne Rangers","342900","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","130430764","7.0426","8.04132","3.4787","461","12408","thing","Earthborne Rangers","1","4","240","240","60","2023","1,2,3","2","12+","Unplayable in another language","","","","","","standalone","","","","",""
"Echoes of Time","441850","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","137259211","6.09113","7.21116","2.4524","2721","2563","thing","Echoes of Time","2","4","60","60","30","2025","2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Electropolis","286431","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","139573081","5.94618","7.27766","2.4348","3555","1012","thing","Electropolis","2","4","70","70","50","2019","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Escape the Dark Sector","280748","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130430796","6.17443","7.46383","2.093","2351","4384","thing","Escape the Dark Sector","1","4","60","60","20","2020","1,2,3,4","1","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Everdell: Newleaf","332390","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130430803","6.98638","8.50885","3.0784","0","12139","thing","Everdell: Newleaf","1","4","100","100","40","2022","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Evergreen","363307","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122896539","6.74659","7.44845","2.136","845","7345","thing","Evergreen","1","4","45","45","45","2022","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"The Extraordinary Adventures of Baron Munchausen","2470","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","127166596","5.74465","7.20945","1.4643","5579","1080","thing","The Extraordinary Adventures of Baron Munchausen","3","20","45","45","45","1998","5,6,7,8,9,10","7","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Fairy Tile","220780","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","127166863","5.78903","6.29435","1.4","4965","3158","thing","Fairy Tile","2","4","30","30","30","2018","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Fall of the Mountain King","334829","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122895867","5.90179","7.25305","3.5","3889","2424","thing","Fall of the Mountain King","1","5","90","90","60","2022","2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Faraway","385761","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125522230","7.26974","7.5376","1.9378","254","33812","thing","Faraway","2","6","30","30","15","2023","2,3,4,5","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Faraway: Under Starry Skies","451708","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137259621","5.83992","7.76662","2.125","0","3740","thing","Faraway: Under Starry Skies","2","6","30","30","15","2026","2,3,4,5,6","2,3,4,5","8+","No necessary in-game text","","","","","","expansion","","","","",""
"A Feast for Odin","177736","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122768406","7.93937","8.15969","3.8673","27","44355","thing","A Feast for Odin","1","4","120","120","30","2016","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Fit to Print","352574","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371087","6.62933","7.29815","2.125","1055","10003","thing","Fit to Print","1","6","30","30","15","2023","1,2,3,4,5,6","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Flip 7","420087","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125617401","6.99632","7.21158","1.0394","511","56282","thing","Flip 7","3","18","20","20","20","2024","3,4,5,6,7,8","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Food Chain Magnate","175914","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122895509","7.7754","8.0368","4.1837","51","28690","thing","Food Chain Magnate","2","5","240","240","120","2015","2,3,4,5","3,4","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Footprints","386271","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129233069","5.74854","6.91649","2.3077","5523","970","thing","Footprints","1","6","60","60","30","2023","1,2,3,4,5,6","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"For Northwood! A Solo Trick-Taking Game","334590","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122896026","7.0534","7.74995","1.8356","447","11878","thing","For Northwood! A Solo Trick-Taking Game","1","1","30","30","15","2021","1","1","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Forbidden Island","65244","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119661887","6.6388","6.74827","1.74","1037","102007","thing","Forbidden Island","2","4","30","30","30","2010","1,2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Forgotten Waters","302723","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122895881","7.12361","7.71923","2.0889","369","16439","thing","Forgotten Waters","3","7","240","240","120","2020","3,4,5,6,7","5","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Fort","296912","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124045753","6.75679","7.05242","2.4441","833","22550","thing","Fort","2","4","40","40","20","2020","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Foundations of Metropolis","412865","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129233009","6.52","7.59338","2","1296","4229","thing","Foundations of Metropolis","2","4","60","60","60","2024","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Freelancers: A Crossroads Game","383206","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122896485","6.28555","7.73104","2.1176","1945","4067","thing","Freelancers: A Crossroads Game","3","7","180","180","90","2023","3,4,5,6,7","4,5","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Galaxy Trucker (Second Edition)","336794","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371095","6.90385","7.41126","2.2636","621","15817","thing","Galaxy Trucker (Second Edition)","2","4","30","30","20","2021","2,3,4","3,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Gang","411567","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125952391","7.13494","7.55016","1.5978","366","18672","thing","The Gang","3","6","20","20","20","2024","4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Ghost Blitz","83195","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371100","6.43314","6.706","1.1293","1512","20221","thing","Ghost Blitz","2","8","20","20","20","2010","2,3,4,5,6","4,5","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371111","8.09127","8.35334","3.6429","12","90147","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Great Wall","292375","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","138536996","6.98226","7.78371","3.9057","525","10068","thing","The Great Wall","1","4","180","180","120","2021","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Guild of Merchant Explorers","350933","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","123560097","7.13638","7.61071","2.0461","362","12311","thing","The Guild of Merchant Explorers","1","4","45","45","45","2022","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Le Havre","35677","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","125831746","7.6551","7.83337","3.7064","83","40408","thing","Le Havre","1","5","150","150","30","2008","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Heat: Pedal to the Metal","366013","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","100190093","7.79456","7.99232","2.2015","47","63973","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Hegemony: Lead Your Class to Victory","321608","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","122895989","7.82752","8.35829","4.2578","41","19548","thing","Hegemony: Lead Your Class to Victory","2","4","180","180","90","2023","2,3,4","4","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Hidden Leaders","320718","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895395","6.19437","6.70011","1.8182","2275","7357","thing","Hidden Leaders","2","6","40","40","20","2022","3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Honey Buzz","284742","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119661918","7.02923","7.48885","2.7273","474","20305","thing","Honey Buzz","1","4","90","90","45","2020","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"HUND","143882","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","123084623","5.7411","6.7045","2.1538","5633","804","thing","HUND","2","5","45","45","45","2013","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Imperial Settlers: Empires of the North","270844","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895537","6.91374","7.37258","2.8152","609","13973","thing","Imperial Settlers: Empires of the North","1","4","90","90","45","2019","1,2,3","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Intarsia","422126","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122601358","6.07844","7.09538","2.0286","2787","3376","thing","Intarsia","2","4","60","60","40","2024","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"The Isle of Cats","281259","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","123495576","7.3586","7.60448","2.3597","207","44060","thing","The Isle of Cats","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"It's a Wonderful World","271324","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122895375","7.38315","7.62188","2.3232","187","30443","thing","It's a Wonderful World","1","5","45","45","45","2019","1,2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"ito","327778","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124045575","6.63388","7.31861","1.0122","1046","8145","thing","ito","2","10","10","10","10","2019","3,4,5,6,7,8","5,6","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Jenga","2452","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371124","5.58275","5.66429","1.1","10515","36032","thing","Jenga","1","8","20","20","20","1983","2,3,4,5,6","4","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Just One","254640","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","122895743","7.43573","7.58785","1.0329","159","61569","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Kalypso","446453","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","142071609","5.52581","7.84","2.3333","17924","70","thing","Kalypso","1","4","60","60","45","2026","","","","","","","","","","standalone","","","","",""
"King of Tokyo","70323","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","113065479","7.00638","7.1116","1.4846","502","112888","thing","King of Tokyo","2","6","30","30","30","2011","3,4,5,6","4,5","6+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The King's Dilemma","245655","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","127166300","7.09304","7.6676","2.264","402","13520","thing","The King's Dilemma","3","5","60","60","45","2019","4,5","5","16+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Kingdomino","204583","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371128","7.16878","7.28689","1.2393","331","92418","thing","Kingdomino","2","4","25","25","15","2016","2,3,4","2,4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Kiri-ai: The Duel","387769","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","119661935","5.8212","6.98068","1.4","4612","2139","thing","Kiri-ai: The Duel","2","2","10","10","5","2023","2","2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Kluster","277458","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129232974","6.15578","6.54544","1.0403","2424","10801","thing","Kluster","1","4","20","20","10","2018","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Landmarks","421374","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","129233132","6.07542","6.87235","1.4412","2807","3445","thing","Landmarks","2","10","25","25","15","2024","2,3,4,5,6,7,8","4,6","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Letter Jam","275467","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","111371135","6.65147","7.13692","1.9717","1007","10210","thing","Letter Jam","2","6","45","45","45","2019","2,3,4,5,6","6","10+","Unplayable in another language","","","","","","standalone","","","","",""
"Leviathan Wilds","358737","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","122936827","6.77441","7.83967","2.6075","800","7276","thing","Leviathan Wilds","1","4","90","90","45","2024","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
