objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Dorfromantik: The Board Game","370591","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112783584","7.17401","7.58235","1.6347","329","25355","thing","Dorfromantik: The Board Game","1","6","60","60","30","2022","1,2,3","1,2","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Dorfromantik: The Duel","395364","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124941914","5.81341","6.9514","1.7778","4692","2880","thing","Dorfromantik: The Duel","2","2","45","45","30","2023","2","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Element","216403","9","0","0","0","0","0","0","0","0","0","1","3","","","","","","104913923","5.95176","7.08998","2.25","3514","1940","thing","Element","2","4","60","60","30","2017","2,3,4","2,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Factory 42","314125","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112780486","5.56533","6.39064","3.6","11852","599","thing","Factory 42","2","5","120","120","90","2021","3,4,5","5","12+","","","","","","","standalone","","","","",""
"Factory Funner","183284","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","104913809","6.26491","7.13532","2.4146","2008","4482","thing","Factory Funner","1","6","40","40","20","2016","1,2,3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Feya's Swamp","438442","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","137257943","6.3322","7.61277","3.2169","1777","3327","thing","Feya's Swamp","2","4","100","100","80","2025","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Gloomhaven","174430","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110204161","8.29147","8.53376","3.9191","4","105177","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Gloomhaven: Jaws of the Lion","291457","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109490869","8.09127","8.35334","3.6429","12","90147","thing","Gloomhaven: Jaws of the Lion","1","4","120","120","30","2020","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Great Western Trail: Argentina","364011","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110814548","7.36426","8.19505","3.9031","198","9895","thing","Great Western Trail: Argentina","1","4","150","150","75","2022","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"The Guild of Merchant Explorers","350933","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","109521099","7.13638","7.61071","2.0461","362","12311","thing","The Guild of Merchant Explorers","1","4","45","45","45","2022","1,2,3,4","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Into the Machine","446670","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","137149363","5.53387","7.4575","2.5","16008","202","thing","Into the Machine","2","5","60","60","45","2026","2,3,4,5","3,4","","No necessary in-game text","","","","","","standalone","","","","",""
"Ironwood","407343","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","123995780","6.50758","7.79659","2.8395","1324","5270","thing","Ironwood","1","2","60","60","30","2024","1,2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Keyflower","122515","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106797052","7.49859","7.70751","3.3321","136","28573","thing","Keyflower","2","6","120","120","90","2012","2,3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Keyside","410628","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","137257942","5.80915","7.7055","3.9","4733","1143","thing","Keyside","1","4","120","120","90","2025","2,3,4","3,4","14","","","","","","","standalone","","","","",""
"Leviathan Wilds","358737","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","141210784","6.77441","7.83967","2.6075","800","7276","thing","Leviathan Wilds","1","4","90","90","45","2024","1,2,3,4","2,3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Lords of Waterdeep","110327","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","110204193","7.57978","7.72849","2.4482","107","75113","thing","Lords of Waterdeep","2","5","120","120","60","2012","2,3,4,5","3,4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Lost Ruins of Arnak","312484","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","112129795","7.91704","8.08327","2.933","30","88613","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Mech A Dream","365647","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","106212109","5.6143","6.57113","2","8810","343","thing","Mech A Dream","2","4","45","45","45","2023","2,3,4","2,3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Merchants of Andromeda","436516","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","137149457","5.63867","6.70947","2.5556","7921","1032","thing","Merchants of Andromeda","3","5","90","90","45","2025","3,4,5","3","","No necessary in-game text","","","","","","standalone","","","","",""
"Minos: Dawn of the Bronze Age","423401","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","124941898","6.31452","7.53367","3.7229","1834","3365","thing","Minos: Dawn of the Bronze Age","1","4","150","150","90","2024","1,2,3","2,3","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Mythic Mischief","342894","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","106679201","6.31014","7.51818","2.5385","1855","4014","thing","Mythic Mischief","1","4","90","90","45","2022","1,2,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"New York 1901","174660","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","118414386","6.42133","6.78218","2.0541","1535","11081","thing","New York 1901","2","4","60","60","30","2015","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Oath","291572","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","105855440","7.16422","7.70574","4.1253","339","21215","thing","Oath","1","6","150","150","45","2021","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"The Old King's Crown","357873","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","142153496","6.97546","8.05941","3.7071","536","7902","thing","The Old King's Crown","1","4","120","120","60","2025","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"ONE PIECE: Dawn of Liberation","460003","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","139847382","0","6.96842","3","0","8","thing","ONE PIECE: Dawn of Liberation","1","4","360","360","180","2026","2,3,4","4","","","","","","","","standalone","","","","",""
"Orloj: The Prague Astronomical Clock","429405","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","137149507","6.59543","7.95029","3.6357","1117","4260","thing","Orloj: The Prague Astronomical Clock","1","4","120","120","60","2025","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Railroad Tiles","418062","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","123982048","6.33933","7.49112","1.7451","1758","4122","thing","Railroad Tiles","1","4","30","30","30","2025","1,2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Revenant","428099","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","123995793","5.88641","7.91173","4.0333","4019","1761","thing","Revenant","1","4","120","120","90","2026","1,2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Revive","332772","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","123940121","7.62097","8.04904","3.4596","92","18600","thing","Revive","1","4","120","120","90","2022","1,2,3,4","3","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Root","237182","6","0","0","1","0","0","0","0","0","0","0","3","","","","","","105855445","7.88136","8.07053","3.842","34","104578","thing","Root","2","4","90","90","60","2018","3,4","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Ruins","428635","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","137149475","6.16336","7.0733","2.2581","2394","4963","thing","Ruins","2","5","40","40","40","2025","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Scythe","169786","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","106212226","7.94044","8.09592","3.4516","26","129828","thing","Scythe","1","5","115","115","115","2016","1,2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Tapestry","286096","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107906198","7.20497","7.43499","2.9729","301","31246","thing","Tapestry","1","5","120","120","90","2019","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Transgalactica","429860","6","0","0","1","0","0","0","0","0","0","0","3","","It's ok. If you get lucky with the starting tiles or bonuses, you can run away with the game before turn one, which I don't love.","","","","137257818","5.65221","6.32454","3.6667","7519","1260","thing","Transgalactica","2","5","100","100","100","2025","2,3,4","4","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Viticulture","128621","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","109490860","7.17859","7.46794","2.9487","325","13320","thing","Viticulture","2","6","90","90","90","2013","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Viticulture Essential Edition","183394","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","109490929","7.80327","7.95487","2.902","43","78824","thing","Viticulture Essential Edition","1","6","90","90","45","2015","1,2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
