objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Brian Boru: High King of Ireland","337765","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","142026012","6.82448","7.46139","2.56","721","6763","thing","Brian Boru: High King of Ireland","3","5","90","90","60","2021","3,4,5","4","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Calamandara","380853","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","139568686","0","9.09048","2.5","0","61","thing","Calamandara","2","4","80","80","45","2023","2,3,4","4","","","","","","","","standalone","","","","",""
"Camel Up (Second Edition)","260605","6","3","0","1","0","0","0","0","0","0","0","3","","","","","","130892296","7.2487","7.54197","1.5131","265","30360","thing","Camel Up (Second Edition)","3","8","45","45","30","2018","3,4,5,6,7,8","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Cascadia","295947","8","12","0","1","0","0","0","0","0","0","0","3","","","","","","125960715","7.73897","7.89374","1.843","59","91154","thing","Cascadia","1","4","45","45","30","2021","1,2,3,4","2,3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Cat in the Box: Deluxe Edition","345972","0","3","0","0","0","0","0","0","0","0","1","2","","","","","","139573224","7.11655","7.44003","2.0424","372","24243","thing","Cat in the Box: Deluxe Edition","2","5","40","40","20","2022","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Catan","13","8.5","18","0","1","0","0","0","0","0","0","0","3","","","","","","125960688","6.9043","7.0913","2.283","614","238213","thing","Catan","3","4","120","120","60","1995","3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Catan Scenario: Crop Trust","259397","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125960746","5.52517","6.78637","2.3333","0","652","thing","Catan Scenario: Crop Trust","3","4","90","90","90","2018","","","","","","","","","","expansion","","","","",""
"Charioteer","339289","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","142769158","5.90334","7.26414","2.25","3819","1079","thing","Charioteer","2","6","120","120","60","2022","3,4,5,6","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Chronicles of Light: Darkness Falls – Disney Edition","411369","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130892307","5.56731","6.37258","2.2","11482","980","thing","Chronicles of Light: Darkness Falls – Disney Edition","1","4","60","60","45","2024","1,2,3,4","1","6+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Clank!: A Deck-Building Adventure","201808","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130892467","7.59809","7.76375","2.2327","98","61848","thing","Clank!: A Deck-Building Adventure","2","4","60","60","30","2016","2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Clash of Cultures","40765","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","142444472","6.95162","7.56394","3.6119","557","6450","thing","Clash of Cultures","2","4","240","240","180","2012","2,3,4","3,4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Coup","131357","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130892250","6.83175","6.97469","1.4151","713","92640","thing","Coup","2","6","15","15","15","2012","3,4,5,6","5","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Crew: Mission Deep Sea","324856","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","134396759","7.80879","8.05477","2.047","43","50538","thing","The Crew: Mission Deep Sea","2","5","20","20","20","2021","3,4,5","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","KOSMOS","English","2021","English edition"
"Crown: The Succession War","430416","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","133383660","0","7.77778","0","0","5","thing","Crown: The Succession War","2","4","120","120","60","2026","","","","","","","","","","standalone","","","","",""
"Darwin's Journey","322289","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","125962287","7.62465","8.09334","3.895","89","16590","thing","Darwin's Journey","1","4","120","120","60","2023","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Dead of Winter: The Long Night","193037","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","48529485","7.06715","7.5053","3.3333","421","23048","thing","Dead of Winter: The Long Night","2","5","120","120","60","2016","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Disney Villainous: The Worst Takes it All","256382","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","125960739","6.68012","6.91142","2.4878","943","54085","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Disney Villainous: Wicked to the Core","271518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130892330","6.77126","7.4842","2.381","0","21327","thing","Disney Villainous: Wicked to the Core","2","3","60","60","40","2019","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Dixit","39856","7","4","0","1","0","0","0","0","0","0","0","3","","","","","","130892288","7.06699","7.18204","1.1924","422","107606","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dixit: Disney Edition","381308","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130892291","6.28402","7.37228","1.0968","1905","6772","thing","Dixit: Disney Edition","3","6","30","30","30","2023","3,4,5,6","5,6","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Dixit: Odyssey","92828","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","130892290","7.14481","7.38084","1.161","350","34780","thing","Dixit: Odyssey","3","12","30","30","30","2011","4,5,6,7,8,9,10,11,12","6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dracula vs Van Helsing","381278","0","8","0","1","0","0","0","0","0","0","0","3","","","","","","133206880","6.53279","7.41658","1.7561","1238","5465","thing","Dracula vs Van Helsing","2","2","45","45","20","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Dune: Imperium","316554","9","2","0","1","0","0","0","0","0","0","0","1","","","","","","127061015","8.22382","8.41413","3.0753","6","77043","thing","Dune: Imperium","1","4","120","120","60","2020","1,2,3,4","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Dune: War for Arrakis","367150","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","132944169","7.23363","8.48324","3.6516","273","8626","thing","Dune: War for Arrakis","1","4","120","120","120","2024","2,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","CMON Global Limited; Gale Force Nine, LLC","English","2024","English edition"
"Eternal Decks","424981","0","2","0","0","0","0","0","0","0","0","1","1","","","","","","139111596","6.6464","8.25767","2.8276","1012","3583","thing","Eternal Decks","1","4","40","40","30","2025","1,2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Ethnos: 2nd Edition","432527","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","132808915","6.13341","7.68024","2.3448","2490","2202","thing","Ethnos: 2nd Edition","1","6","60","60","60","2025","3,4,5,6","4,5","5+","No necessary in-game text","","","","","","standalone","","","","",""
"Everdell","199792","0","4","0","1","0","0","0","0","0","0","0","3","","","","","","133735532","7.8104","7.98484","2.834","42","104022","thing","Everdell","1","4","80","80","40","2022","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Starling Games (II)","English","2022","English third edition"
"Exploding Kittens: NSFW Edition","172242","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130892247","5.96027","6.23352","1.0837","3401","32811","thing","Exploding Kittens: NSFW Edition","2","5","20","20","10","2015","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Explorers of Navoria","371932","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880779","6.46668","7.50062","2.2558","1391","5033","thing","Explorers of Navoria","2","4","80","80","40","2024","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Farms Race","395181","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","139568628","5.69879","7.46944","2.3125","6281","831","thing","Farms Race","2","4","120","120","60","2024","3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Feed the Kraken","271601","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","136621654","7.06947","7.78981","2.1688","419","9729","thing","Feed the Kraken","5","11","90","90","45","2022","6,7,8,9,10,11","8,9,10,11","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"A Few Acres of Snow","79828","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","134166762","6.93383","7.36798","3.0289","580","9455","thing","A Few Acres of Snow","2","2","90","90","60","2011","2","2","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Final Fantasy: Moogle Bounty Mayhem","426962","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","142745772","0","7.26667","1","0","81","thing","Final Fantasy: Moogle Bounty Mayhem","2","4","15","15","15","2024","2,3,4","3,4","8+","","","","","","","standalone","","","","",""
"Fire Tower","226605","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","125962398","6.24451","7.07661","1.7231","2044","7203","thing","Fire Tower","2","4","30","30","15","2019","2,3,4","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"First Rat","347703","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130892459","6.83326","7.51878","2.2708","710","7443","thing","First Rat","1","5","75","75","30","2022","1,2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Fives","374024","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","141930717","5.72255","7.32843","1.8333","5835","622","thing","Fives","3","4","40","40","30","2022","3,4","4","","No necessary in-game text","","","","","","standalone","","","","",""
"Flip 7","420087","0","11","0","1","0","0","0","0","0","0","0","3","","","","","","134396822","6.97803","7.22659","1.0279","524","45707","thing","Flip 7","3","18","20","20","20","2025","3,4,5,6,7,8","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","The Op Games","English","2025","English second edition"
"Forestry","431493","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","139059241","6.08478","7.76549","3.2917","2716","1712","thing","Forestry","1","4","120","120","70","2025","1,2,3","2","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Fossilium","427886","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","143693754","5.65136","7.4747","3.0952","7413","487","thing","Fossilium","1","4","120","120","60","2025","1,2,3,4","3,4","10+","","","","","","","standalone","","","","",""
"Fruit Fight","339214","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","141930908","6.31899","7.08445","1.025","1789","6072","thing","Fruit Fight","2","5","20","20","20","2021","2,3,4,5","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"A Game of Thrones: The Board Game (Second Edition)","103343","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139568679","7.30269","7.52844","3.7354","235","52544","thing","A Game of Thrones: The Board Game (Second Edition)","3","6","240","240","120","2011","4,5,6","6","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"The Gang","411567","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","133927944","7.08459","7.572","1.6058","404","15378","thing","The Gang","3","6","20","20","20","2024","4,5,6","5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Ghost Lift","450112","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","139863737","5.63195","6.65002","1.2","7981","403","thing","Ghost Lift","2","6","30","30","15","2025","3,4,5,6","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Gloomhaven","174430","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","125960776","8.30184","8.5428","3.9182","4","104155","thing","Gloomhaven","1","4","120","120","60","2017","1,2,3,4","3","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Harmonies","414317","8","22","0","1","0","0","0","0","0","0","0","3","","","","","","127042027","7.74414","8.02891","2.0117","57","47199","thing","Harmonies","1","4","45","45","30","2024","1,2,3,4","2,3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Heat: Pedal to the Metal","366013","0","3","0","0","0","0","0","0","0","0","1","3","","","","","","125962239","7.79491","8.001","2.2002","47","59380","thing","Heat: Pedal to the Metal","1","6","60","60","30","2022","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Hunger","339906","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","133261594","6.40878","7.00685","2.3146","1546","8331","thing","The Hunger","2","6","60","60","60","2021","2,3,4,5","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Hutan: Life in the Rainforest","419130","0","10","0","0","0","0","0","0","0","0","1","3","","","","","","134005214","5.93145","6.99934","1.963","3606","1148","thing","Hutan: Life in the Rainforest","1","4","45","45","30","2025","1,2,3,4","1,2","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Isle of Cats","281259","0","1","0","0","0","0","0","0","0","0","1","3","","","","","","125962297","7.37156","7.61788","2.3601","192","43116","thing","The Isle of Cats","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Jekyll & Hyde vs Scotland Yard","377793","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","133207056","6.07256","7.27695","2.1538","2779","3541","thing","Jekyll & Hyde vs Scotland Yard","2","2","20","20","20","2023","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Kanban EV","284378","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880751","7.79974","8.38137","4.2948","45","16420","thing","Kanban EV","1","4","180","180","60","2020","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Kick-Ass: The Board Game","250561","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","131017961","5.94979","7.28087","2.963","3470","2502","thing","Kick-Ass: The Board Game","1","4","90","90","60","2018","1,2,3,4","2","16+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Kinfire Council","411894","7.5","1","0","0","0","0","0","0","0","0","1","3","","","","","","139366559","5.9286","7.77086","3.2174","3625","1609","thing","Kinfire Council","2","6","120","120","90","2025","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Life of the Amazonia","368305","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","133500846","6.98886","8.09983","2.8478","514","6400","thing","Life of the Amazonia","1","4","150","150","60","2023","1,2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"LUNA Capital","323613","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","130892320","6.19323","7.06635","2.2394","2245","5231","thing","LUNA Capital","1","4","45","45","45","2021","1,2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Marvel Villainous: Infinite Power","302336","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130892328","6.12894","6.71148","2.7241","2510","14121","thing","Marvel Villainous: Infinite Power","2","4","80","80","40","2020","2,3,4","3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Medium","242529","0","10","0","1","0","0","0","0","0","0","0","3","","","","","","141645759","6.17632","6.84097","1.0857","2308","5426","thing","Medium","2","8","45","45","30","2019","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Men-Nefer","404431","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880790","6.91547","8.16759","3.69","598","5313","thing","Men-Nefer","1","4","120","120","60","2024","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","","","",""
"Mille Fiori","346501","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","130892269","6.84185","7.41883","2.1655","699","9591","thing","Mille Fiori","2","4","90","90","60","2021","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Mission: Red Planet","18258","0","0","0","0","0","0","0","1","0","0","0","3","","","","","","130892463","6.39525","6.87609","2.3178","1585","3831","thing","Mission: Red Planet","3","5","60","60","60","2005","3,4,5","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"MLEM: Space Agency","387378","0","6","0","1","0","0","0","0","0","0","0","3","","","","","","130892365","6.655","7.15856","1.7628","990","10369","thing","MLEM: Space Agency","2","5","60","60","30","2024","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Morels","122298","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","130892265","6.6503","6.96986","1.7366","1001","19272","thing","Morels","2","2","30","30","30","2012","2","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Mountain Goats","63975","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","143693736","6.40964","6.82931","1.215","1544","10221","thing","Mountain Goats","2","4","20","20","20","2010","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","",""
"Mythic Mischief","342894","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","139108115","6.30123","7.52752","2.52","1844","3827","thing","Mythic Mischief","1","4","90","90","45","2022","1,2,4","2","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Mythic Mischief Vol. II","400617","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880678","5.71062","7.93184","2.5","6038","1475","thing","Mythic Mischief Vol. II","1","4","90","90","45","2024","1,2","2","10+","","","","","","","standalone","","","","",""
"Night Soil","421530","0","0","0","0","0","0","0","0","0","0","1","2","","","","","","141617666","5.66694","6.96865","3.1739","6995","662","thing","Night Soil","2","5","90","90","60","2025","2,3,4,5","3,4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Nightshift","383172","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","133207085","5.74642","7.73216","1.72","5457","1107","thing","Nightshift","1","5","90","90","40","2025","1,2,3,4,5","4","16+","","","","","","","standalone","","","","",""
"Northgard: Uncharted Lands","274124","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","128366372","6.51835","7.57453","2.7757","1271","4727","thing","Northgard: Uncharted Lands","2","5","90","90","45","2022","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Nunatak: Temple of Ice","383158","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880701","6.03954","7.30942","2.0385","2945","2253","thing","Nunatak: Temple of Ice","2","4","45","45","30","2023","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Oath","291572","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139568624","7.16856","7.72019","4.1222","331","20650","thing","Oath","1","6","150","150","45","2021","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Pandemic","30549","6.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","125962306","7.40552","7.51472","2.3942","170","224641","thing","Pandemic","2","4","45","45","45","2008","1,2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Pax Pamir: Second Edition","256960","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","140099150","7.76799","8.12843","3.8429","51","24402","thing","Pax Pamir: Second Edition","1","5","120","120","45","2019","1,2,3,4,5","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Photosynthesis","218603","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880663","6.76469","6.92911","2.2684","803","42931","thing","Photosynthesis","2","4","60","60","30","2017","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","","","",""
"Power Grid","2651","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","125962275","7.68333","7.79997","3.2472","73","86451","thing","Power Grid","2","6","120","120","120","2004","3,4,5,6","4,5","12+","No necessary in-game text","","","","","","standalone","","","","",""
"Puerto Rico","3076","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","125962252","7.75367","7.89937","3.2666","55","84797","thing","Puerto Rico","3","5","150","150","90","2002","2,3,4,5","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Puerto Rico","108687","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","141645770","7.48324","8.30901","3.226","0","10240","thing","Puerto Rico","2","5","150","150","90","2011","2,3,4,5","4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Rainbow","415090","0","2","0","0","0","0","0","0","0","0","0","3","","","","","","138022025","5.8725","6.89946","1.2143","4069","2081","thing","Rainbow","2","6","20","20","10","2024","3,4,5","4","5","No necessary in-game text","","","","","","standalone","","","","",""
"Rebirth","417197","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880799","7.0155","7.75839","1.9719","482","9064","thing","Rebirth","2","4","60","60","45","2024","2,3,4","3","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Redwood","359962","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","130880831","5.97811","7.17516","2.1379","3295","2365","thing","Redwood","1","4","60","60","45","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Return to Dark Tower","256680","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","128446904","7.31836","8.20536","2.6549","226","10708","thing","Return to Dark Tower","1","4","120","120","100","2022","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Rising Sun","205896","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133915195","7.4501","7.75429","3.2984","154","29455","thing","Rising Sun","3","5","120","120","90","2018","3,4,5","4,5","14+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Robot Quest Arena","304668","0","0","0","0","0","0","0","0","0","0","1","3","","","","","","133261583","6.34888","7.66563","2.1875","1700","3245","thing","Robot Quest Arena","2","4","60","60","30","2023","2,3,4","4","8+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Root","237182","0","0","0","0","0","0","0","0","0","0","1","1","","","","","","139573265","7.88118","8.07091","3.8423","34","100432","thing","Root","2","4","90","90","60","2018","3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Rumble Nation","266722","0","0","0","0","0","0","0","0","0","0","1","4","","","","","","133680497","6.56536","7.41366","1.8354","1166","4050","thing","Rumble Nation","2","4","40","40","20","2017","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Schadenfreude","324711","0","4","0","0","0","0","0","0","0","0","1","2","","","","","","140896621","6.28765","7.64093","1.7812","1891","1812","thing","Schadenfreude","3","5","20","20","15","2020","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","",""
"SCOUT","291453","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","125962285","7.58382","7.79526","1.389","103","53544","thing","SCOUT","2","5","20","20","20","2019","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
