objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"Dead of Winter: The Long Night","193037","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","82758744","7.06715","7.5053","3.3333","421","23048","thing","Dead of Winter: The Long Night","2","5","120","120","60","2016","3,4,5","4","14+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Deception: Murder in Hong Kong","156129","0","7","0","1","0","0","0","0","0","0","0","3","","","","","","82758810","7.21739","7.42171","1.5897","286","37694","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Disney Villainous: Bigger and Badder","352764","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","108275125","6.15823","7.39295","2.4118","2374","8335","thing","Disney Villainous: Bigger and Badder","2","3","60","60","40","2022","2,3","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Disney Villainous: Despicable Plots","331050","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","105422813","6.3753","7.45356","2.1852","0","11544","thing","Disney Villainous: Despicable Plots","2","3","60","60","40","2021","2,3","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Disney Villainous: Evil Comes Prepared","284760","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92443111","6.74939","7.48458","2.3167","822","20793","thing","Disney Villainous: Evil Comes Prepared","2","3","60","60","40","2019","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Disney Villainous: Filled with Fright","391217","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","120394427","5.84481","7.71481","2.25","0","3683","thing","Disney Villainous: Filled with Fright","2","4","60","60","40","2023","2","2","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Ravensburger","English","2023","English edition"
"Disney Villainous: Perfectly Wretched","299047","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","92443103","6.67921","7.55403","2.3","0","16804","thing","Disney Villainous: Perfectly Wretched","2","3","60","60","40","2020","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Disney Villainous: Sugar and Spite","411003","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125694014","5.79066","7.61857","2.4","4882","3869","thing","Disney Villainous: Sugar and Spite","2","2","40","40","40","2024","2","2","","","","","","","","standalone","","Ravensburger","English","2024","English edition"
"Disney Villainous: The Worst Takes it All","256382","0","13","0","1","0","0","0","0","0","0","0","3","","","","","","82740702","6.68012","6.91142","2.4878","943","54085","thing","Disney Villainous: The Worst Takes it All","2","6","120","120","45","2018","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Disney Villainous: Wicked to the Core","271518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82740714","6.77126","7.4842","2.381","0","21327","thing","Disney Villainous: Wicked to the Core","2","3","60","60","40","2019","2,3","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Dixit","39856","0","16","0","1","0","0","0","0","0","0","0","3","","","","","","106695888","7.06699","7.18204","1.1924","422","107606","thing","Dixit","3","6","30","30","30","2008","4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","",""
"Dixit: Harmonies","234553","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109419549","6.24658","7.79425","1.2083","0","5472","thing","Dixit: Harmonies","3","6","60","60","60","2018","4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","Libellud","English","2018","English-only second edition"
"Dixit: Memories","174090","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107602701","6.68208","7.85689","1.1489","0","9422","thing","Dixit: Memories","3","6","30","30","30","2015","4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","","","",""
"Dixit: Mirrors","301112","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109419558","5.91473","7.83825","1.4545","0","2981","thing","Dixit: Mirrors","3","6","30","30","20","2020","4,5,6","5,6","6+","No necessary in-game text","","","","","","expansion","","Libellud","English","2020","English edition"
"Dixit: Revelations","205761","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","107602893","6.60748","7.8795","1.1818","0","8310","thing","Dixit: Revelations","3","6","30","30","30","2016","4,5,6","5,6","8+","No necessary in-game text","","","","","","expansion","","","","",""
"Dune: Imperium – Bloodlines","426129","8.5","0","0","1","0","0","0","0","0","0","0","3","","","","","","129842389","6.66946","8.69447","3.6604","0","7912","thing","Dune: Imperium – Bloodlines","1","6","120","120","60","2025","2,3,4,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Dire Wolf","English","2025","English edition"
"Dune: Imperium – Uprising","397598","9.5","11","0","1","0","0","0","0","0","0","0","3","","","","","","122399487","8.22619","8.70402","3.5236","5","27194","thing","Dune: Imperium – Uprising","1","6","120","120","60","2023","1,2,3,4,6","4","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Dire Wolf","English","2023","English edition"
"Everdell","199792","0","4","0","0","0","0","0","0","1","0","0","3","","","","","","92443113","7.8104","7.98484","2.834","42","104022","thing","Everdell","1","4","80","80","40","2018","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Flamecraft","336986","8","8","0","1","0","0","0","0","0","0","0","3","","Deluxe","","","","107265150","7.09291","7.37514","2.1842","396","44282","thing","Flamecraft","1","5","60","60","60","2022","1,2,3,4,5","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Flamecraft Duals","439305","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","139925906","6.1642","8.00622","1.75","2343","4283","thing","Flamecraft Duals","1","2","45","45","30","2025","1,2","2","8+","No necessary in-game text","","","","","","standalone","","Cardboard Alchemy","English","2025","English edition"
"Flamecraft: Dragons & Dragons","445543","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","139925914","5.59467","8.33505","2.5","0","2020","thing","Flamecraft: Dragons & Dragons","1","5","60","60","60","2025","","","","","","","","","","expansion","","Cardboard Alchemy","English","2025","English edition"
"Flip 7","420087","0","18","0","1","0","0","0","0","0","0","0","3","","","","","","135103705","6.97803","7.22659","1.0279","524","45707","thing","Flip 7","3","18","20","20","20","2025","3,4,5,6,7,8","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","The Op Games","English","2025","English second edition"
"Formaggio","430533","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","142661125","6.19126","8.09886","2.4375","2255","3672","thing","Formaggio","1","4","45","45","30","2025","1,2,3,4","4","10","No necessary in-game text","","","","","","standalone","","Road To Infamy Games (R2i Games)","English","2025","English limited edition"
"Fromage","384213","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","142661109","7.0537","7.68722","2.3871","437","10161","thing","Fromage","1","4","45","45","30","2024","1,2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Road To Infamy Games (R2i Games)","English","2024","English limited edition"
"Galileo Galilei","393333","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","133897653","6.63056","7.62145","3.0407","1032","5107","thing","Galileo Galilei","1","4","100","100","50","2025","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","Capstone Games","English","2025","Capstone Games English edition"
"Grand Austria Hotel","182874","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143787040","7.71515","7.96445","3.1956","67","32358","thing","Grand Austria Hotel","2","4","120","120","60","2022","2,3","2","12+","No necessary in-game text","","","","","","standalone","","Lookout Games","English","2022","English edition 2022"
"Grand Austria Hotel: Let's Waltz!","320780","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143787053","6.63783","8.36518","3.2791","0","7980","thing","Grand Austria Hotel: Let's Waltz!","1","4","120","120","60","2023","1,2,3,4","2,3","12+","No necessary in-game text","","","","","","expansion","","Lookout Games","English","2023","English second edition"
"Great Western Trail: Second Edition","341169","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","120424460","7.9028","8.26586","3.7026","31","25091","thing","Great Western Trail: Second Edition","1","4","150","150","75","2021","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","eggertspiele","English","2021","English edition"
"Hamlet: By the Lake","389384","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125153410","5.62438","7.74844","2.8333","0","1996","thing","Hamlet: By the Lake","1","4","90","90","60","2024","1,3,4","4","10","","","","","","","expansion","","Mighty Boards","English","2024","English edition"
"Hamlet: The Village Building Game","276086","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","125153389","6.16044","6.82537","2.9444","2360","7471","thing","Hamlet: The Village Building Game","1","4","100","100","25","2023","2,3,4","3","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Mighty Boards","English","2023","English edition"
"Harry Potter: Hogwarts Battle","199042","9.5","1","0","1","0","0","0","0","0","0","0","3","","","","","","82740554","7.05324","7.33849","2.0855","438","45261","thing","Harry Potter: Hogwarts Battle","2","4","60","60","30","2016","2,3,4","2,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Harry Potter: Hogwarts Battle – The Charms and Potions Expansion","304297","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82740572","6.31524","7.75661","2.5909","0","8413","thing","Harry Potter: Hogwarts Battle – The Charms and Potions Expansion","2","5","120","120","60","2020","2,3,4,5","2","8+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","",""
"Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion","223494","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82740562","6.64998","7.59817","2.6406","0","16585","thing","Harry Potter: Hogwarts Battle – The Monster Box of Monsters Expansion","2","4","60","60","30","2017","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Heat: Pedal to the Metal","366013","0","10","0","1","0","0","0","0","0","0","0","3","","","","","","111294376","7.79491","8.001","2.2002","47","59380","thing","Heat: Pedal to the Metal","1","6","60","60","30","2023","1,2,3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","Days of Wonder","English","2023","English edition 2023"
"Heat: Rocky Roads","459763","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","143446616","5.63951","8.04716","2.2857","0","1923","thing","Heat: Rocky Roads","1","7","120","120","60","2026","2,3,4,5,6,7","5,6","10+","No necessary in-game text","","","","","","expansion","","Days of Wonder","English","2026","English edition"
"Heat: Tunnel Vision","436904","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","133897617","6.36342","8.20065","2.12","0","9520","thing","Heat: Tunnel Vision","1","7","60","60","30","2025","1,2,3,4,5,6,7","5,6","10+","No necessary in-game text","","","","","","expansion","","Days of Wonder","English","2025","English edition"
"Honey Buzz","284742","9","5","0","1","0","0","0","0","0","0","0","3","","","","","","115513604","7.02687","7.49738","2.7191","465","19590","thing","Honey Buzz","1","4","90","90","45","2020","1,2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Elf Creek Games","English","2020","Deluxe English edition"
"Honey Buzz: Cornucopia Mini Expansion","387482","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125694118","5.57949","7.81975","3","0","1395","thing","Honey Buzz: Cornucopia Mini Expansion","1","4","90","90","45","2023","","","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Elf Creek Games","English","2023","English edition"
"Honey Buzz: Fall Flavors","349725","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125694073","5.78396","8.06973","2.875","0","3478","thing","Honey Buzz: Fall Flavors","1","4","90","90","45","2024","1,2,3,4","1,2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Elf Creek Games","English","0","English deluxe edition"
"Honey Buzz: Honey Pot Mini Expansion","311314","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125694096","5.74344","7.57979","2.4286","0","3218","thing","Honey Buzz: Honey Pot Mini Expansion","1","4","90","90","45","2020","2,3,4","3","10+","No necessary in-game text","","","","","","expansion","","Elf Creek Games","English","2020","English edition"
"Horrified: American Monsters","343562","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","108275149","6.618","7.42661","2.2182","1061","10258","thing","Horrified: American Monsters","1","5","60","60","60","2021","1,2,3,4,5","2,3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Isle of Cats","281259","8","17","0","1","0","0","0","0","0","0","0","3","","","","","","99128640","7.37156","7.61788","2.3601","192","43116","thing","The Isle of Cats","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"The Isle of Cats: Boat Pack","338021","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106689251","6.17469","8.14442","1.3333","0","5919","thing","The Isle of Cats: Boat Pack","1","6","90","90","30","2022","1,2,3,4,5","1,3,4,5","","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","","","",""
"The Isle of Cats: Kickstarter Pack","287362","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106689225","6.29706","8.05912","2.2727","0","6819","thing","The Isle of Cats: Kickstarter Pack","1","4","90","90","60","2019","1,2,3,4","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"The Isle of Cats: Kickstarter Pack 2","338022","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","106689262","5.90126","8.12451","0","0","4092","thing","The Isle of Cats: Kickstarter Pack 2","1","6","90","90","30","2022","","","","","","","","","","expansion","","","","",""
"The Isle of Cats: Kittens + Beasts","338020","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","105422756","6.35679","8.23792","2.8571","0","7455","thing","The Isle of Cats: Kittens + Beasts","1","6","90","90","30","2022","2,3,4,5","3,4","","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"The Isle of Cats: Late Arrivals","287361","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99128767","6.47585","7.90598","2.1176","0","10138","thing","The Isle of Cats: Late Arrivals","1","6","120","120","60","2019","1,2,3,4,5,6","3","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Jaipur","54043","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","120394420","7.36285","7.48121","1.4644","202","94994","thing","Jaipur","2","2","30","30","30","2022","2","2","8+","No necessary in-game text","","","","","","standalone","","Space Cowboys","English","2022","English edition 2022"
"King of New York","160499","0","2","0","1","0","0","0","0","0","0","0","3","","","","","","112243080","6.65469","6.86061","1.8703","992","27392","thing","King of New York","2","6","40","40","40","2014","3,4,5,6","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","IELLO","English","2014","English edition"
"Lost Ruins of Arnak","312484","0","5","0","1","0","0","0","0","0","0","0","3","","","","","","96891615","7.91462","8.0818","2.9318","30","85193","thing","Lost Ruins of Arnak","1","4","120","120","30","2020","1,2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","",""
"Lost Ruins of Arnak: Expedition Leaders","341254","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109463407","8.01379","8.70905","3.105","0","34697","thing","Lost Ruins of Arnak: Expedition Leaders","1","4","120","120","30","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Lost Ruins of Arnak: Expedition Leaders","341254","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109463408","8.01379","8.70905","3.105","0","34697","thing","Lost Ruins of Arnak: Expedition Leaders","1","4","120","120","30","2021","1,2,3,4","3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","Czech Games Edition (CGE)","English","2021","English edition"
"Lost Ruins of Arnak: The Missing Expedition","382350","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","109463544","7.31249","8.66328","3.2113","0","18790","thing","Lost Ruins of Arnak: The Missing Expedition","1","4","120","120","30","2023","1,2,3,4","1,2,3","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","",""
"Mansions of Madness: Second Edition","205059","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","82758799","7.68082","7.91755","2.696","74","65437","thing","Mansions of Madness: Second Edition","1","5","180","180","120","2016","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","",""
"Medium","242529","0","0","0","0","0","0","0","0","0","0","0","3","","","","","","138675277","6.17632","6.84097","1.0857","2308","5426","thing","Medium","2","8","45","45","30","2025","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Ghenos Games","Italian","2025","Italian edition"
"Mille Fiori","346501","0","9","0","1","0","0","0","0","0","0","0","3","","","","","","118741144","6.84185","7.41883","2.1655","699","9591","thing","Mille Fiori","2","4","90","90","60","2021","3,4","4","8+","No necessary in-game text","","","","","","standalone","","","","",""
"The Mind: Soulmates","378851","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","118365352","5.633","6.79558","1.2","7948","838","thing","The Mind: Soulmates","2","4","20","20","20","2023","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Nürnberger-Spielkarten-Verlag","German","2023","German edition"
"MLEM: Space Agency","387378","0","12","0","1","0","0","0","0","0","0","0","3","","","","","","117387991","6.655","7.15856","1.7628","990","10369","thing","MLEM: Space Agency","2","5","60","60","30","2024","3,4,5","4,5","8+","No necessary in-game text","","","","","","standalone","","Rebel Studio","English","2024","English edition"
"Munchkin Deluxe","1927","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","125693897","5.6927","5.87413","1.8171","6409","102352","thing","Munchkin","3","6","120","120","60","2021","3,4,5,6","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Steve Jackson Games","English","2021","English deluxe edition, 24th printing"
